CC.EST,GE.EST,PV.EST,RL.EST,RL.NO.SRC,RQ.EST,VA.EST
2.065769196,1.887772322,1.221605778,1.929921746,8,1.694269657,1.720227122
-0.598485827,-0.985120118,-0.178228781,-0.513486564,11,-0.735240161,-0.08571393
0.599220514,0.142491281,0.778000653,-0.103717804,2,-0.083867647,0.531392515
2.116907597,1.538743258,1.468353748,1.838392735,9,1.874447942,1.597474456
0.20332709,0.104503602,0.419779539,0.593385637,7,0.444364667,-1.143539071
-0.857438266,-0.571128666,-1.792694926,-0.712938488,12,-0.764765918,-0.877737641
-0.58416152,0.164647356,0.235503376,-0.284955025,11,0.322711378,0.573975325
-0.524636924,-0.294280052,-0.357722938,-0.382843524,13,0.471264184,0.246405274
-0.510658324,0.067812383,-0.778704286,-0.652070105,11,0.113156676,-0.106204242
0.599220514,0.385807753,1.166096687,0.685012817,3,0.547488928,1.077807546
-0.596797168,-0.830172777,-0.653386533,-0.709918439,9,-0.683947444,0.032394487
0.618671596,0.324195117,0.491619498,0.524749398,12,0.850681961,0.615374744
-0.018320566,-0.298273265,0.435354978,0.605160594,2,0.7840482,0.495715708
-1.702882886,-1.490295053,-0.378678769,-1.607795715,7,-2.370465994,-2.155001879
0.721146345,0.979601145,1.008731127,1.156680584,10,0.822069168,1.255300164
-0.857888103,-0.56520766,0.016717767,-0.427826524,11,-0.139662296,0.046246175
-0.576270461,-0.677145183,-2.01823926,-0.473232418,4,0.054560505,-1.128380537
0.754916787,0.867067635,0.66960603,0.980674624,8,0.841679335,-1.287029028
0.632067442,0.911797345,0.198889047,0.621794641,1,0.93036598,0
-0.098599784,-0.286944449,0.508950412,0.368689924,12,0.346217543,0.585118234
-0.930568337,-0.111088738,-0.667407393,-0.805210352,11,-0.483847022,-1.071108222
0.527836561,0.27377528,0.06945648,0.075776123,11,-0.000359975,-1.091815233
0.241704509,0.113618113,-0.650637805,0.215450674,9,0.24940148,-1.609063268
-1.418994069,-1.538864851,-1.657106519,-1.085210681,11,-1.570901155,-1.42654264
-0.007295328,-0.059842013,-0.143102944,-0.320803761,14,-0.294217169,0.239433467
2.118231773,2.284202814,1.438511014,1.835434914,10,2.205299139,-0.203881621
0.068296649,-0.696980476,0.56044656,-0.036500826,5,-0.832646549,0.450046629
-0.396055698,-1.063283443,-0.302384615,-0.794501007,13,-0.90462321,-0.094753966
-0.577636421,-0.261266619,-0.114992231,-0.777085423,12,-0.08524321,0.0697046
1.265453935,1.749241352,1.177310586,1.615181565,1,0.525310516,1.119690418
-1.689130902,-2.131613731,-2.581469297,-2.312544823,8,-1.953612566,-1.83582139
-0.451470822,-0.042924359,-0.170754418,-0.123005606,10,0.080396354,-0.120949499
-1.93686974,-2.316320896,-2.19173646,-1.971926212,8,-2.010436773,-1.811196923
0.119751044,-0.714003325,0.489600688,-0.707371294,7,-0.974100471,0.367126346
-0.46073404,-0.57881397,0.418843955,-0.132088944,6,-0.795015275,0.414326221
0.415226489,0.502145827,0.633981705,0.655498803,11,0.774733365,0.879534602
0.777402997,1.12117362,0.701467931,1.039548635,12,0.912210226,0.932139754
2.094510555,1.670026779,0.9973768,1.767410159,10,1.678616405,1.498041272
-0.292263597,-0.75438714,-0.040546946,-0.499071807,7,-0.492181957,-1.329202294
1.388897538,0.678994,0.701836467,0.234800011,6,0.021038041,0.481483877
-1.735396385,-1.754257798,-2.711847782,-2.088908434,6,-1.891613841,-1.930748582
-1.425237775,-1.510737181,-1.255220294,-1.331267715,11,-1.125309587,-1.403276324
-0.730152428,-0.730156839,-0.890698075,-0.674149811,12,-0.664301932,-0.750611603
-0.483811766,0.201812536,-0.578270495,0.111505389,10,0.063660756,-0.809261918
-1.345226526,-0.759225845,-0.500074506,-1.25058949,11,-1.072057724,-1.777924895
-1.434578419,-1.023769975,-0.201640815,-1.400027394,7,-2.054598331,-2.027861595
-0.339262903,-0.755884349,0.197396621,-1.199614406,7,-0.763640761,0.36991474
-0.34388265,0.276987463,1.087378979,0.494495004,5,-0.380405098,0.689357698
-0.160061643,0.173967272,0.110414088,-0.170465708,8,-0.177748173,0.641143441
-0.115354247,-0.186425105,-0.594325781,0.141534477,12,-0.303489238,0.283747613
-0.361754,-0.158797756,-1.143882632,-0.418659002,11,-0.024792725,-0.860594511
